game_pk,date,home,away,home_team_id,away_team_id,home_sp_id,away_sp_id,r1_home_runs,r1_away_runs,r1_total_runs,over_0_5,season,home_sp_fip,away_sp_fip,home_team_wrc_plus,away_team_wrc_plus,park_factor_runs,home_sp_r1_runs_avg,home_sp_r1_run_rate,home_sp_r1_starts_n,away_sp_r1_runs_avg,away_sp_r1_run_rate,away_sp_r1_starts_n
776412,2025-09-08,ATL,CHC,144,112,693821.0,684007.0,3,0,3,1,2025,3.26025641025641,4.756626506024096,3.2,5.0,100,1.25,0.625,8,0.625,0.375,8
776409,2025-09-08,MIA,WSH,146,120,676083.0,676917.0,0,0,0,0,2025,4.901470588235294,5.649800796812749,4.9,3.8,93,0.0,0.0,6,0.25,0.25,4
776393,2025-09-09,TOR,HOU,141,117,669456.0,677651.0,0,2,2,1,2025,2.690643274853801,5.433333333333334,6.0,4.0,101,0.375,0.25,8,0.2,0.2,5
776398,2025-09-09,NYY,DET,147,116,701542.0,663554.0,1,0,1,1,2025,5.108196721311476,3.222950819672131,5.7,4.5,97,0.875,0.125,8,0.0,0.0,8
776395,2025-09-09,TEX,MIL,140,158,683004.0,694477.0,0,0,0,0,2025,3.320588235294118,3.737450199203187,4.6,4.8,103,0.375,0.375,8,0.375,0.25,8
776391,2025-09-09,SEA,STL,136,138,669923.0,669461.0,0,0,0,0,2025,3.901526717557252,4.867241379310345,5.5,3.6,94,0.5,0.25,8,0.125,0.125,8
776390,2025-09-09,LAA,MIN,108,142,543294.0,805673.0,3,0,3,1,2025,5.838095238095239,5.225984251968504,3.7,4.9,98,0.0,0.0,8,1.25,0.5,8
776401,2025-09-09,BAL,PIT,110,134,680694.0,681347.0,1,1,2,1,2025,3.3000000000000003,4.298347107438016,4.8,3.9,101,0.0,0.0,8,0.75,0.25,4
776402,2025-09-09,ATL,CHC,144,112,675911.0,690990.0,0,1,1,1,2025,7.66896551724138,2.8435897435897437,3.2,4.8,100,1.125,0.375,8,0.125,0.125,8
776394,2025-09-09,SF,ARI,137,109,592662.0,668678.0,3,0,3,1,2025,4.237254901960784,3.513793103448276,7.8,4.9,95,0.625,0.625,8,0.125,0.125,8
776375,2025-09-10,TEX,MIL,140,158,518876.0,642547.0,0,2,2,1,2025,3.9411214953271028,1.9928571428571429,4.6,4.5,103,0.5,0.375,8,0.125,0.125,8
776383,2025-09-10,NYY,DET,147,116,607074.0,656427.0,0,0,0,0,2025,3.729139072847682,3.178740157480315,4.9,5.7,97,0.25,0.25,8,0.25,0.125,8
776373,2025-09-10,SEA,STL,136,138,669302.0,700241.0,0,1,1,1,2025,3.751340996168582,4.85,5.6,3.2,94,0.5,0.5,8,0.7142857142857143,0.42857142857142855,7
776386,2025-09-10,MIA,WSH,146,120,691587.0,663623.0,0,0,0,0,2025,6.467875647668395,8.430188679245282,4.5,5.7,93,0.75,0.375,8,0.625,0.25,8
776369,2025-09-11,TOR,HOU,141,117,592332.0,664299.0,2,0,2,1,2025,3.493939393939394,4.343781094527364,5.5,4.3,101,0.25,0.25,8,1.125,0.5,8
776367,2025-09-11,MIA,WSH,146,120,677960.0,669022.0,2,0,2,1,2025,4.463636363636364,4.552282157676348,4.2,5.9,93,0.25,0.25,8,0.875,0.375,8
776365,2025-09-11,SD,COL,135,115,681190.0,685326.0,0,0,0,0,2025,4.9750000000000005,8.695238095238095,3.7,3.5,96,0.0,0.0,8,0.5,0.5,2
776350,2025-09-12,SF,LAD,137,119,434378.0,808967.0,1,0,1,1,2025,1.6053380782918152,3.4703703703703703,7.0,4.3,95,0.25,0.25,8,0.5,0.375,8
776358,2025-09-12,ATH,CIN,133,113,669372.0,663903.0,1,0,1,1,2025,3.8623318385650225,2.0666666666666664,5.4,5.2,97,0.7142857142857143,0.42857142857142855,7,0.75,0.375,8
776354,2025-09-12,PHI,KC,143,118,621111.0,547179.0,0,1,1,1,2025,6.351028806584362,4.298347107438016,5.9,3.0,102,1.375,0.375,8,0.125,0.125,8
776363,2025-09-12,BOS,NYY,111,147,608337.0,661563.0,0,1,1,1,2025,3.1682593856655292,4.130534351145038,5.3,4.4,104,0.375,0.125,8,0.125,0.125,8
776366,2025-09-12,MIA,DET,146,116,645261.0,669373.0,1,0,1,1,2025,3.0090909090909093,2.8076023391812868,4.2,6.5,93,0.25,0.25,8,0.0,0.0,8
776355,2025-09-12,MIN,ARI,142,109,641154.0,694297.0,0,1,1,1,2025,4.019117647058824,2.8628458498023717,4.4,4.8,99,0.375,0.125,8,2.0,0.625,8
776353,2025-09-12,TOR,BAL,141,110,605135.0,669432.0,0,0,0,0,2025,3.5924242424242427,1.951963746223565,6.0,3.5,101,1.0,0.375,8,0.625,0.375,8
